"","year","Mexico","United Kingdom","United States"
"1",2007,10.8992416666667,0.543486666666667,1
"2",2008,10.9281916666667,0.499771666666667,1
"3",2009,11.1297166666667,0.54396625,1
"4",2010,13.513475,0.641919263495996,1
"5",2011,12.6360083333333,0.647179345560165,1
"6",2012,12.423325,0.624140835740495,1
"7",2013,13.1694583333333,0.633046988857327,1
"8",2014,12.7719916666667,0.639660577613477,1
"9",2015,13.29245,0.607729626878255,1
"10",2016,15.8482666666667,0.654545478931426,1
"11",2017,18.6640583333333,0.740634463697084,1
"12",2018,18.9265166666667,0.777002598115976,1
