state,2015,2016,2017,2018,2019,2014,2013
Aguascalientes,1539,1611,1254,1140,1248,1361,3226
Baja California,16449,16700,12839,11320,11501,16595,12741
Baja California Sur,1987,1842,1548,1266,1178,1804,1297
Campeche,1592,1617,1421,1367,1225,1588,1296
Coahuila de Zaragoza,3039,3024,2228,2166,1909,2629,1394
Colima,3784,2917,2439,1883,1506,3613,2055
Chiapas,5686,5960,4526,3952,3429,6664,5036
Chihuahua,7575,8847,7656,7833,8051,6970,5679
Distrito Federal,39257,36109,30979,27716,25843,40486,23655
Durango,3315,3642,2871,3449,3800,3005,1145
Guanajuato,4270,4499,4572,4857,5303,4043,6022
Guerrero,5692,5451,4902,4480,4248,5856,3923
Hidalgo,3779,3786,3608,3654,3823,3332,3260
Jalisco,17542,16944,15449,14326,13559,16524,11122
México,24347,26856,25723,26874,27837,19360,10953
Michoacán de Ocampo,6420,5840,5000,4792,4924,4915,4960
Morelos,3707,3698,3423,3431,3234,3496,1235
Nayarit,2664,2679,2244,2008,1953,2424,1907
Nuevo León,8546,7841,7110,7144,7038,8542,4828
Oaxaca,4393,4008,3176,3572,3187,4316,2828
Puebla,5359,5109,4351,4303,4718,4992,1627
Querétaro,2419,2247,2040,2114,2305,2732,3566
Quintana Roo,3090,3051,2697,2534,2243,2820,2449
San Luis Potosí,3322,2968,2576,2370,2361,3267,4037
Sinaloa,9011,7078,5435,4683,4373,6888,3200
Sonora,11373,10688,7963,7771,7230,12128,11778
Tabasco,4543,4213,3898,3747,3805,4888,4531
Tamaulipas,6470,6712,5705,5049,4613,6006,3043
Tlaxcala,879,882,701,608,591,826,1157
Veracruz de Ignacio de la Llave,8263,7555,7024,6889,6566,7960,6008
Yucatán,1868,1627,1387,1351,1305,2353,3944
Zacatecas,1476,1594,1517,1726,1913,1299,1890
